mtry,min_n,.metric,.estimator,mean,n,std_err,.config
2,2,roc_auc,binary,0.6009006102697058,10,0.003268685080611203,pre0_mod01_post0
2,6,roc_auc,binary,0.6031037654843314,10,0.003287504878142204,pre0_mod02_post0
2,11,roc_auc,binary,0.6060595440899276,10,0.0031674967375742557,pre0_mod03_post0
2,15,roc_auc,binary,0.607764479857655,10,0.0030529700765306797,pre0_mod04_post0
2,20,roc_auc,binary,0.6090294262980819,10,0.0033453622591774227,pre0_mod05_post0
3,2,roc_auc,binary,0.5986028399910882,10,0.003094633461784983,pre0_mod06_post0
3,6,roc_auc,binary,0.6018023833416202,10,0.0031990442059879973,pre0_mod07_post0
3,11,roc_auc,binary,0.6051393092444656,10,0.003236578676498919,pre0_mod08_post0
3,15,roc_auc,binary,0.607616020946911,10,0.00321670576522588,pre0_mod09_post0
3,20,roc_auc,binary,0.6092008191912652,10,0.003245755407619164,pre0_mod10_post0
5,2,roc_auc,binary,0.602140484266155,10,0.002730844485787473,pre0_mod11_post0
5,6,roc_auc,binary,0.6047919851164207,10,0.002739114984283743,pre0_mod12_post0
5,11,roc_auc,binary,0.6078143031677182,10,0.003009324639102001,pre0_mod13_post0
5,15,roc_auc,binary,0.6098924308142228,10,0.00293522134364915,pre0_mod14_post0
5,20,roc_auc,binary,0.6114569452353387,10,0.003135943255065646,pre0_mod15_post0
6,2,roc_auc,binary,0.6019614522287038,10,0.002636328223540441,pre0_mod16_post0
6,6,roc_auc,binary,0.6046628319341211,10,0.0027493802462000725,pre0_mod17_post0
6,11,roc_auc,binary,0.6073986876671862,10,0.00279299234436859,pre0_mod18_post0
6,15,roc_auc,binary,0.6096654803681629,10,0.002860625312391022,pre0_mod19_post0
6,20,roc_auc,binary,0.6116878586691274,10,0.002820967526695088,pre0_mod20_post0
8,2,roc_auc,binary,0.6013866707360209,10,0.0024770614583059154,pre0_mod21_post0
8,6,roc_auc,binary,0.6034834236334448,10,0.00267500989371687,pre0_mod22_post0
8,11,roc_auc,binary,0.6059672171882615,10,0.0027235711501831586,pre0_mod23_post0
8,15,roc_auc,binary,0.6076204931805689,10,0.002881183295452907,pre0_mod24_post0
8,20,roc_auc,binary,0.6095292653401184,10,0.003000288178834089,pre0_mod25_post0
